name,location,price,rating
Hilton Garden Inn New York Central Park South-Midtown West,"Manhattan, New York",$90,7.2
INNSiDE by Meliá New York Nomad,"Chelsea, New York",$151,8.4
Pod Times Square,"Hell's Kitchen, New York",$89,8.1
Sheraton Tribeca New York Hotel,"Tribeca, New York",$149,7.6
"The Draper New York, Tapestry Collection by Hilton","Manhattan, New York",$132,8.4
Hilton Garden Inn New York - Times Square Central,"Manhattan, New York",$109,7.6
HI New York City Hostel,"Upper West Side, New York",$34,8.2
DoubleTree by Hilton New York Downtown,"Wall Street - Financial District, New York",$143,7.3
Hilton Garden Inn New York Times Square North,"Manhattan, New York",$155,7.7
DoubleTree by Hilton New York Times Square South,"Hell's Kitchen, New York",$138,7.9
"The Historic Mayfair Hotel Times Square, Ascend Hotel Collection","Manhattan, New York",$90,9.0
Tempo By Hilton New York Times Square,"Manhattan, New York",$213,8.5
"EVEN Hotel New York - Times Square South, an IHG Hotel","Hell's Kitchen, New York",$152,8.5
Freehand New York,"Gramercy, New York",$104,7.8
Element Times Square West,"Hell's Kitchen, New York",$114,7.6
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection","Midtown East, New York",$95,8.6
Hilton New York Times Square,"Manhattan, New York",$136,7.6
TownePlace Suites by Marriott New York Manhattan/Chelsea,"Chelsea, New York",$129,8.1
Pod 51,"Midtown East, New York",$80,7.8
Royalton New York,"Manhattan, New York",$169,7.7
Four Points by Sheraton New York Downtown,"Wall Street - Financial District, New York",$127,7.2
"Club Quarters Hotel Grand Central, New York","Midtown East, New York",$144,8.0
Pod 39,"Murray Hill, New York",$80,8.1
"Holiday Inn Lower East Side, an IHG Hotel","Lower East Side, New York",$125,7.9
"Crowne Plaza Times Square Manhattan, an IHG Hotel","Manhattan, New York",$118,7.8
Millennium Hilton New York One UN Plaza,"Midtown East, New York",$151,7.7
MOXY NYC Times Square,"Manhattan, New York",$161,8.0
"Kimpton Hotel Theta, an IHG Hotel","Manhattan, New York",$170,8.5
45 Times Square Hotel,"Manhattan, New York",$121,8.2
Four Points by Sheraton Manhattan SoHo Village,"SoHo, New York",$143,7.6
SpringHill Suites by Marriott New York Manhattan/Times Square South,"Hell's Kitchen, New York",$138,8.0
Four Points by Sheraton Manhattan Midtown West,"Hudson Yards, New York",$203,8.1
Hyatt Place New York City/Times Square,"Hell's Kitchen, New York",$129,7.6
Hilton Garden Inn New York Times Square South,"Hell's Kitchen, New York",$178,8.1
"Hotel Indigo NYC Financial District, an IHG Hotel","Wall Street - Financial District, New York",$127,8.8
Radio Hotel,"Washington Heights, New York",$95,8.1
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,"Wall Street - Financial District, New York",$136,8.4
Hyatt Herald Square New York,"NoMad, New York",$157,8.1
Wingate by Wyndham New York Midtown South/5th Ave,"Manhattan, New York",$128,8.1
Hilton Garden Inn New York/Manhattan-Chelsea,"Chelsea, New York",$124,8.0
"Hotel Shocard Broadway, Times Square","Manhattan, New York",$100,7.5
Hyatt Place NYC Chelsea,"Chelsea, New York",$139,7.9
Motto By Hilton New York City Times Square,"Manhattan, New York",$127,7.6
Hampton Inn Manhattan - Times Square South,"Hell's Kitchen, New York",$95,6.5
Best Western Premier Empire State Hotel,"NoMad, New York",$103,8.3
Moxy NYC Lower East Side,"Lower East Side, New York",$188,8.0
"The Jewel Hotel, New York","Manhattan, New York",$152,8.5
DoubleTree by Hilton Hotel New York City - Chelsea,"Chelsea, New York",$146,7.2
"Staypineapple, An Artful Hotel, Midtown New York","Hell's Kitchen, New York",$135,8.7
Hilton Garden Inn New York Manhattan Midtown East,"Midtown East, New York",$120,7.4
The FIDI Hotel,"Wall Street - Financial District, New York",$114,8.2
Hotel Edison Times Square,"Manhattan, New York",$109,7.4
Hotel Edison Times Square,"Manhattan, New York",$109,7.4
Moxy NYC Downtown,"Wall Street - Financial District, New York",$175,8.1
Doubletree By Hilton New York Times Square West,"Hell's Kitchen, New York",$152,7.0
Riu Plaza Manhattan Times Square,"Manhattan, New York",$179,8.6
Broadway Plaza Hotel,"NoMad, New York",$125,8.6
Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,"Hell's Kitchen, New York",$203,8.2
Aloft Manhattan Downtown - Financial District,"Wall Street - Financial District, New York",$130,7.4
West Side YMCA,"Upper West Side, New York",$84,6.6
Four Points by Sheraton Manhattan Chelsea,"Chelsea, New York",$142,7.0
Hilton Garden Inn New York/Midtown Park Avenue,"Manhattan, New York",$119,8.0
TRYP by Wyndham New York City Times Square - Midtown,"Hell's Kitchen, New York",$104,7.0
Pestana Park Avenue,"Murray Hill, New York",$132,8.5
New York Marriott Marquis,"Manhattan, New York",$265,8.2
Park Central,"Manhattan, New York",$139,7.4
"The Cloud One New York-Downtown, by the Motel One Group","Wall Street - Financial District, New York",$139,8.4
Homewood Suites Midtown Manhattan Times Square South,"Hell's Kitchen, New York",$155,8.2
"Club Quarters Hotel World Trade Center, New York","Wall Street - Financial District, New York",$152,8.2
Hilton Garden Inn New York/Tribeca,"Tribeca, New York",$135,7.6
Courtyard by Marriott New York World Trade Center Area,"Wall Street - Financial District, New York",$139,7.8
La Quinta by Wyndham Time Square South,"Hell's Kitchen, New York",$118,8.2
"Marriott Vacation Club Pulse, New York City","Manhattan, New York",$149,8.7
Hyatt Grand Central New York,"Midtown East, New York",$197,7.2
Millennium Hotel Broadway Times Square,"Manhattan, New York",$128,7.2
Sheraton Tribeca New York Hotel,"Tribeca, New York",$149,7.6
SpringHill Suites by Marriott New York Manhattan Chelsea,"Chelsea, New York",$162,8.2
Romer Hell's Kitchen,"Hell's Kitchen, New York",$138,8.7
Arthouse Hotel,"Upper West Side, New York",$186,7.8
"Distrikt Hotel New York City, Tapestry Collection by Hilton","Hell's Kitchen, New York",$127,7.5
Artezen Hotel,"Wall Street - Financial District, New York",$138,9.1
"Club Quarters Hotel Times Square, New York","Manhattan, New York",$155,7.8
Hampton Inn New York Times Square,"Manhattan, New York",$132,7.3
Best Western Plus Soho Hotel,"Chinatown, New York",$189,8.7
The James New York - NoMad,"NoMad, New York",$259,8.1
East Harlem Hostel,"East Harlem, New York",$142,10
The Belvedere Hotel,"Hell's Kitchen, New York",$129,8.0
Nap York Central Park Sleep Station,"Manhattan, New York",$65,8.2
The Gregorian New York City,"Manhattan, New York",$143,8.3
Four Points by Sheraton Midtown - Times Square,"Hell's Kitchen, New York",$149,8.0
Courtyard New York Manhattan/Upper East Side,"Upper East Side, New York",$227,7.7
Park Terrace Hotel,"Manhattan, New York",$241,8.7
Library Hotel by Library Hotel Collection,"Murray Hill, New York",$254,8.8
Residence Inn by Marriott New York Manhattan/Central Park,"Manhattan, New York",$266,8.4
W New York - Times Square,"Manhattan, New York",$235,7.7
The Westin New York at Times Square,"Manhattan, New York",$212,7.9
citizenM New York Times Square,"Manhattan, New York",$169,8.6
"The Herald by LuxUrban, Trademark Collection by Wyndham","Manhattan, New York",$125,7.8
Hotel Richland LES,"Chinatown, New York",$131,8.1
"Martinique New York on Broadway, Curio Collection by Hilton","Manhattan, New York",$163,8.1
"Holiday Inn New York City - Times Square, an IHG Hotel","Hell's Kitchen, New York",$121,7.6
Hotel Giraffe by Library Hotel Collection,"NoMad, New York",$233,8.8
Delta Hotels by Marriott New York Times Square,"Hell's Kitchen, New York",$137,7.7
Hotel Scherman,"Hell's Kitchen, New York",$129,9.1
Artezen Hotel,"Wall Street - Financial District, New York",$152,9.1
YOTEL New York Times Square,"Hell's Kitchen, New York",$139,7.3
La Quinta by Wyndham New York City Central Park,"Upper West Side, New York",$99,6.6
Moxy NYC Chelsea,"Chelsea, New York",$212,8.3
Aloft Harlem,"Harlem, New York",$209,7.8
Hotel Richland LES,"Chinatown, New York",$144,8.1
Hotel Boutique at Grand Central,"Midtown East, New York",$144,7.8
Pestana CR7 Times Square,"Hell's Kitchen, New York",$154,8.1
33 Seaport Hotel New York,"Wall Street - Financial District, New York",$203,8.5
Hampton Inn Manhattan-35th St Empire State Bldg,"Manhattan, New York",$170,8.2
Library Hotel by Library Hotel Collection,"Murray Hill, New York",$279,8.8
Hilton Garden Inn West 35th Street,"Manhattan, New York",$147,8.3
The Gotham Hotel,"Midtown East, New York",$215,8.3
Eurostars Wall Street,"Wall Street - Financial District, New York",$160,7.8
TownePlace Suites by Marriott New York Manhattan/Times Square,"Hell's Kitchen, New York",$161,8.2
"voco Times Square South, an IHG Hotel","Hell's Kitchen, New York",$131,7.8
SoHo 54,"SoHo, New York",$99,7.0
"Dream Midtown, Part Of Hyatt","Manhattan, New York",$140,7.5
Hilton New York Fashion District,"Chelsea, New York",$144,7.3
Hotel Giraffe by Library Hotel Collection,"NoMad, New York",$257,8.8
Cambria Hotel New York - Chelsea,"Chelsea, New York",$145,7.9
Courtyard New York Manhattan/Midtown East,"Midtown East, New York",$309,8.0
"Holiday Inn Express New York City Chelsea, an IHG Hotel","Chelsea, New York",$152,7.8
Hotel Boutique at Grand Central,"Midtown East, New York",$144,7.8
Concorde Hotel New York,"Midtown East, New York",$218,8.7
Pestana CR7 Times Square,"Hell's Kitchen, New York",$154,8.1
Hampton Inn Manhattan-35th St Empire State Bldg,"Manhattan, New York",$170,8.2
Hotel Beacon,"Upper West Side, New York",$189,8.7
Hilton Garden Inn West 35th Street,"Manhattan, New York",$147,8.3
Eurostars Wall Street,"Wall Street - Financial District, New York",$160,7.8
TownePlace Suites by Marriott New York Manhattan/Times Square,"Hell's Kitchen, New York",$161,8.2
Carlton Arms Hotel,"Gramercy, New York",$79,7.5
"voco Times Square South, an IHG Hotel","Hell's Kitchen, New York",$131,7.8
Hampton Inn Manhattan Grand Central,"Midtown East, New York",$144,7.7
"Dream Midtown, Part Of Hyatt","Manhattan, New York",$140,7.5
Hilton New York Fashion District,"Chelsea, New York",$144,7.3
Heritage Hotel New York City,"Flatiron District, New York",$108,7.2
Cambria Hotel New York - Chelsea,"Chelsea, New York",$145,7.9
Courtyard New York Manhattan/Midtown East,"Midtown East, New York",$309,8.0
"Holiday Inn Express New York City Chelsea, an IHG Hotel","Chelsea, New York",$152,7.8
OYO Times Square,"Manhattan, New York",$118,6.9
Madison LES Hotel,"Lower East Side, New York",$85,7.4
citizenM New York Bowery,"Lower East Side, New York",$174,8.7
Millennium Downtown New York,"Wall Street - Financial District, New York",$152,7.4
"EVEN Hotel New York - Midtown East, an IHG Hotel","Midtown East, New York",$136,8.3
Citadines Connect Fifth Avenue New York,"Manhattan, New York",$152,7.5
CIVILIAN Hotel,"Hell's Kitchen, New York",$172,8.5
Fairfield Inn & Suites by Marriott New York Manhattan/Central Park,"Hell's Kitchen, New York",$195,7.9
Moxy NYC Chelsea,"Chelsea, New York",$212,8.3
SoHo 54,"SoHo, New York",$90,7.0
Aloft Harlem,"Harlem, New York",$209,7.8
"The Washington by LuxUrban, Trademark Collection by Wyndham","Wall Street - Financial District, New York",$125,7.9
Hotel Boutique at Grand Central,"Midtown East, New York",$144,7.8
Concorde Hotel New York,"Midtown East, New York",$218,8.7
Hotel Mulberry,"Chinatown, New York",$109,8.5
Hampton Inn Manhattan-35th St Empire State Bldg,"Manhattan, New York",$170,8.2
Hotel Beacon,"Upper West Side, New York",$189,8.7
Fairfield Inn & Suites New York Manhattan/Downtown East,"Chinatown, New York",$143,8.0
Hilton Garden Inn West 35th Street,"Manhattan, New York",$147,8.3
Hotel Hayden New York,"Chelsea, New York",$146,7.1
Eurostars Wall Street,"Wall Street - Financial District, New York",$160,7.8
"Holiday Inn Express - Times Square, an IHG Hotel","Hell's Kitchen, New York",$152,6.3
"voco Times Square South, an IHG Hotel","Hell's Kitchen, New York",$131,7.8
Hampton Inn Manhattan Grand Central,"Midtown East, New York",$144,7.7
"Dream Midtown, Part Of Hyatt","Manhattan, New York",$140,7.5
The Kimberly Hotel,"Midtown East, New York",$319,8.9
Millennium Premier New York Times Square,"Manhattan, New York",$136,7.1
Hilton New York Fashion District,"Chelsea, New York",$144,7.3
Heritage Hotel New York City,"Flatiron District, New York",$108,7.2
AC Hotel by Marriott New York Times Square,"Manhattan, New York",$239,8.3
Cambria Hotel New York - Chelsea,"Chelsea, New York",$145,7.9
Courtyard New York Manhattan/Midtown East,"Midtown East, New York",$309,8.0
Pestana CR7 Times Square,"Hell's Kitchen, New York",$162,8.1
Courtyard by Marriott New York Manhattan/Central Park,"Manhattan, New York",$227,8.2
"Tuscany by LuxUrban, Trademark Collection by Wyndham","Murray Hill, New York",$120,7.3
Embassy Suites By Hilton New York Manhattan Times Square,"Manhattan, New York",$144,7.8
LUMA Hotel - Times Square,"Manhattan, New York",$235,9.0
The Muse New York,"Manhattan, New York",$215,8.3
Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,"Manhattan, New York",$199,7.4
"The Time New York, part of JdV by Hyatt","Manhattan, New York",$145,7.5
"The Lexington Hotel, Autograph Collection","Midtown East, New York",$212,8.0
Wyndham Garden Chinatown,"Lower East Side, New York",$156,7.6
WestHouse Hotel New York,"Manhattan, New York",$209,8.1
Royalton Park Avenue,"NoMad, New York",$179,8.3
Hampton Inn Manhattan/Downtown- Financial District,"Wall Street - Financial District, New York",$149,7.5
Hyatt House New York/Chelsea,"Chelsea, New York",$179,8.2
The Shelburne Sonesta New York,"Murray Hill, New York",$134,7.9
Hampton Inn Manhattan Chelsea,"Chelsea, New York",$203,7.8
Aliz Hotel Times Square,"Hell's Kitchen, New York",$147,7.9
Courtyard New York Manhattan/Midtown West,"Hudson Yards, New York",$305,8.6
Arlo Midtown,"Hell's Kitchen, New York",$203,8.7
Shoreham Hotel,"Manhattan, New York",$159,7.2
World Center Hotel,"Wall Street - Financial District, New York",$152,8.2
